timestamp, latitude, longitude 
1545369458,19.5421,13.8296
1545369468,20.0302,14.2427
1545369478,20.5171,14.6586
1545369488,21.0028,15.0775
1545369498,21.4872,15.4993
1545369508,21.9703,15.9243
1545369518,22.4522,16.3524
1545369528,22.9327,16.7839
1545369538,23.4118,17.2187
1545369548,23.8894,17.6570
1545369558,24.3655,18.0989
1545369568,24.8400,18.5444
1545369578,25.3129,18.9936
1545369588,25.7843,19.4467
1545369598,26.2540,19.9038
1545369608,26.7219,20.3650
1545369618,27.1881,20.8303
1545369628,27.6524,21.2999
1545369638,28.1148,21.7739
1545369648,28.5753,22.2523
1545369658,29.0109,22.7110
1545369668,29.4902,23.2230
1545369678,29.9219,23.6907
1545369688,30.3741,24.1879
1545369698,30.8242,24.6901
1545369708,31.2719,25.1974
1545369718,31.7173,25.7099
1545369728,32.1603,26.2278
1545369738,32.6008,26.7512
1545369748,33.0388,27.2802
1545369758,33.4741,27.8148
1545369768,33.9067,28.3553
1545369778,34.3366,28.9017
1545369788,34.7635,29.4542
1545369798,35.1877,30.0129
1545369808,35.6088,30.5778
1545369818,36.0269,31.1493
1545369828,36.4418,31.7272
1545369838,36.8535,32.3118
1545369848,37.2618,32.9031
1545369858,37.6667,33.5013
1545369868,38.0681,34.1065
1545369878,38.4660,34.7189
1545369888,38.8601,35.3385
1545369898,39.2505,35.9655
1545369908,39.6370,36.5999
1545369918,40.0005,37.2096
1545369928,40.3792,37.8589
1545369938,40.7537,38.5160
1545369948,41.1240,39.1809
1545369958,41.4899,39.8540
1545369968,41.8513,40.5350
1545369978,42.2081,41.2243
1545369988,42.5603,41.9219
1545369998,42.9076,42.6278
1545370008,43.2500,43.3421
1545370018,43.5874,44.0650
1545370028,43.9196,44.7964
1545370038,44.2465,45.5364
1545370048,44.5680,46.2850
1545370058,44.8841,47.0425
1545370068,45.1944,47.8087
1545370078,45.4990,48.5837
1545370088,45.7978,49.3676
1545370098,46.0905,50.1602
1545370108,46.3770,50.9618
1545370118,46.6573,51.7720
1545370128,46.9313,52.5913
1545370138,47.1987,53.4192
1545370148,47.4594,54.2559
1545370158,47.7133,55.1011
1545370168,47.9604,55.9549
1545370178,48.2004,56.8176
1545370188,48.4218,57.6447
1545370198,48.6477,58.5234
1545370208,48.8662,59.4101
1545370218,49.0772,60.3050
1545370228,49.2806,61.2078
1545370238,49.4761,62.1183
1545370248,49.6638,63.0362
1545370258,49.8435,63.9614
1545370268,50.0150,64.8936
1545370278,50.1784,65.8326
1545370288,50.3334,66.7782
1545370298,50.4799,67.7301
1545370308,50.6180,68.6880
1545370318,50.7475,69.6517
1545370328,50.8682,70.6209
1545370338,50.9802,71.5951
1545370348,51.0833,72.5740
1545370358,51.1774,73.5573
1545370368,51.2626,74.5447
1545370378,51.3387,75.5357
1545370388,51.4057,76.5300
1545370398,51.4635,77.5271
1545370408,51.5121,78.5264
1545370418,51.5514,79.5279
1545370428,51.5815,80.5312
1545370438,51.6023,81.5354
1545370448,51.6134,82.4901
1545370458,51.6160,83.4954
1545370468,51.6092,84.5006
1545370478,51.5932,85.5053
1545370488,51.5678,86.5092
1545370498,51.5331,87.5117
1545370508,51.4892,88.5124
